MAC;TipoMAC;Fabricante;Total Visto;Timestamp
28:de:65:17:e6:6d;Public;ArubaaHe;330;2022-07-10 07:00:00
28:de:65:1d:6f:ce;Public;ArubaaHe;1715;2022-07-10 07:00:00
28:de:65:1d:6f:d8;Public;ArubaaHe;1590;2022-07-10 07:00:01
28:de:65:1d:6f:d7;Public;ArubaaHe;466;2022-07-10 07:00:03
28:de:65:1d:6f:eb;Public;ArubaaHe;719;2022-07-10 07:00:03
28:de:65:1d:6f:dc;Public;ArubaaHe;725;2022-07-10 07:00:03
28:de:65:17:e6:c6;Public;ArubaaHe;320;2022-07-10 07:00:03
28:de:65:1d:6f:f9;Public;ArubaaHe;1796;2022-07-10 07:00:04
28:de:65:1d:6f:fa;Public;ArubaaHe;278;2022-07-10 07:00:07
28:de:65:43:68:78;Public;ArubaaHe;213;2022-07-10 07:00:08
28:de:65:43:66:dc;Public;ArubaaHe;181;2022-07-10 07:00:20
28:de:65:5f:be:d2;Public;ArubaaHe;69;2022-07-10 07:00:25
28:de:65:43:68:e0;Public;ArubaaHe;212;2022-07-10 07:00:36
